n,name,parent,value
1512921,Ilzatvirus mcgalleon,1502863.0,1
1516721,Ilzatvirus teagan,1502863.0,1
1502869,Scapunavirus,1515284.0,1
1508972,Scapunavirus scap1,1502869.0,1
1502870,Timshelvirus,1515284.0,4
1509251,Timshelvirus timshel,1502870.0,1
1509351,Timshelvirus SWU2,1502870.0,1
1510135,Timshelvirus HINdeR,1502870.0,1
1513341,Timshelvirus droogsarmy,1502870.0,1
1502965,Mollymurvirus,1515284.0,1
1503453,Mollymurvirus mollymur,1502965.0,1
1502966,Wumptrevirus,1515284.0,2
1507366,Wumptrevirus PP,1502966.0,1
1509827,Wumptrevirus WMP3,1502966.0,1
1502975,Chopinvirus,1515284.0,1
1504552,Chopinvirus KSY1,1502975.0,1
1502977,Sherbrookevirus,1515284.0,6
1511284,Sherbrookevirus CDHM11,1502977.0,1
1512686,Sherbrookevirus CDHM14,1502977.0,1
1513108,Sherbrookevirus CD506,1502977.0,1
1515513,Sherbrookevirus CD4811,1502977.0,1
1516968,Sherbrookevirus MMP04,1502977.0,1
1517323,Sherbrookevirus CDHM13,1502977.0,1
1502980,Nclasvirinae,1515284.0,18
1517182,Charlievirus,1502980.0,18
1503651,Charlievirus Tapioca,1517182.0,1
1504042,Charlievirus skinnypete,1517182.0,1
1504958,Charlievirus Pipsqueaks,1517182.0,1
1505108,Charlievirus Raymond7,1517182.0,1
1506005,Charlievirus panchino,1517182.0,1
1507701,Charlievirus phrann,1517182.0,1
1508897,Charlievirus butters,1517182.0,1
1508998,Charlievirus Rebel,1517182.0,1
1509759,Charlievirus Andies,1517182.0,1
1510735,Charlievirus Fulbright,1517182.0,1
1511596,Charlievirus Charlie,1517182.0,1
1511961,Charlievirus Xeno,1517182.0,1
1512635,Charlievirus Aggie,1517182.0,1
1512746,Charlievirus Jamie19,1517182.0,1
1512817,Charlievirus Kevin1,1517182.0,1
1513839,Charlievirus redi,1517182.0,1
1514324,Charlievirus michellemybell,1517182.0,1
1516656,Charlievirus Philonius,1517182.0,1
1503004,Kelquatrovirus,1515284.0,1
1514846,Kelquatrovirus KL4,1503004.0,1
1503031,Naesvirus,1515284.0,4
1503403,Naesvirus bcep781,1503031.0,1
1506819,Naesvirus bcep1,1503031.0,1
1508136,Naesvirus bcepNY3,1503031.0,1
1512950,Naesvirus bcep43,1503031.0,1
1503036,Ounavirinae,1515284.0,26
1504126,Felixounavirus,1503036.0,17
1503326,Felixounavirus BPS17W1,1504126.0,1
1505190,Felixounavirus BPS15Q2,1504126.0,1
1505202,Felixounavirus RPN213,1504126.0,1
1505969,Felixounavirus UAB87,1504126.0,1
1506654,Felixounavirus mushroom,1504126.0,1
1506673,Felixounavirus SP116,1504126.0,1
1506865,Felixounavirus AYO145A,1504126.0,1
1506929,Felixounavirus Alf5,1504126.0,1
1508163,Felixounavirus felixO1,1504126.0,1
1508601,Felixounavirus Si3,1504126.0,1
1510761,Felixounavirus TP1,1504126.0,1
1513921,Felixounavirus VpaE1,1504126.0,1
1514859,Felixounavirus wV8,1504126.0,1
1514891,Felixounavirus BPS17L1,1504126.0,1
1514969,Felixounavirus EC6,1504126.0,1
1516252,Felixounavirus JH2,1504126.0,1
1516489,Felixounavirus HY02,1504126.0,1
1506007,Mooglevirus,1503036.0,5
1505026,Mooglevirus Sf14,1506007.0,1
1507539,Mooglevirus Sf17,1506007.0,1
1508179,Mooglevirus mordin,1506007.0,1
1512704,Mooglevirus Sf13,1506007.0,1
1513225,Mooglevirus moogle,1506007.0,1
1508320,Kolesnikvirus,1503036.0,2
1506272,Kolesnikvirus M7,1508320.0,1
1516374,Kolesnikvirus Ea214,1508320.0,1
1516638,Suspvirus,1503036.0,2
1509847,Suspvirus SUSP1,1516638.0,1
1512255,Suspvirus SUSP2,1516638.0,1
1503040,Helsingorvirus,1515284.0,3
1506453,Helsingorvirus Cba171,1503040.0,1
1506663,Helsingorvirus Cba181,1503040.0,1
1509341,Helsingorvirus Cba121,1503040.0,1
1503071,Rosemountvirus,1515284.0,5
1504951,Rosemountvirus SE13,1503071.0,1
1506529,Rosemountvirus yarpen,1503071.0,1
1506588,Rosemountvirus UPFBP2,1503071.0,1
1507678,Rosemountvirus birk,1503071.0,1
1514004,Rosemountvirus BP63,1503071.0,1
1503074,Fukuivirus,1515284.0,2
1510616,Fukuivirus LMM01,1503074.0,1
1517075,Fukuivirus MVDC,1503074.0,1
1503095,Midgardsormrvirus,1515284.0,1
1505892,Midgardsormrvirus midgardsormr38,1503095.0,1
1503099,Salmondvirus,1515284.0,2
1510924,Salmondvirus JA29,1503099.0,1
1516963,Salmondvirus JA11,1503099.0,1
1503173,Elemovirus,1515284.0,6
1504005,Elemovirus elemoD,1503173.0,1
1507304,Elemovirus elemoA,1503173.0,1
1509223,Elemovirus elemoB,1503173.0,1
1510495,Elemovirus elemoF,1503173.0,1
1511881,Elemovirus elemoE,1503173.0,1
1514733,Elemovirus elemoC,1503173.0,1
1503248,Patiencevirus,1515284.0,1
1504184,Patiencevirus patience,1503248.0,1
1503267,Rountreeviridae,1515284.0,38
1508799,Fischettivirus,1503267.0,1
1510882,Fischettivirus C1,1508799.0,1
1510104,Rakietenvirinae,1503267.0,21
1503937,Andhravirus,1510104.0,4
1507679,Andhravirus andhra,1503937.0,1
1510460,Andhravirus St134,1503937.0,1
1513774,Andhravirus sealphi,1503937.0,1
1517293,Andhravirus besep3,1503937.0,1
1510011,Rosenblumvirus,1510104.0,17
1502945,Rosenblumvirus SLPW,1510011.0,1
1504112,Rosenblumvirus S241,1510011.0,1
1506913,Rosenblumvirus SA46CL1,1510011.0,1
1507247,Rosenblumvirus BP39,1510011.0,1
1508068,Rosenblumvirus portland,1510011.0,1
1508858,Rosenblumvirus EBHT,1510011.0,1
1509536,Rosenblumvirus SAP2,1510011.0,1
1509927,Rosenblumvirus pabna,1510011.0,1
1509935,Rosenblumvirus CSA13,1510011.0,1
1510004,Rosenblumvirus AGO13,1510011.0,1
1510488,Rosenblumvirus rv66,1510011.0,1
1512885,Rosenblumvirus PSa3,1510011.0,1
1513193,Rosenblumvirus SCH1,1510011.0,1
1513875,Rosenblumvirus GRCS,1510011.0,1
1514369,Rosenblumvirus rv44AHJD,1510011.0,1
1515518,Rosenblumvirus LSA2366,1510011.0,1
1515591,Rosenblumvirus jpl50,1510011.0,1
1513556,Sarlesvirinae,1503267.0,15
1504436,Minhovirus,1513556.0,2
1504167,Minhovirus IME199,1504436.0,1
1516102,Minhovirus zip,1504436.0,1
1512291,Copernicusvirus,1513556.0,13
1504653,Copernicusvirus Efmus1,1512291.0,1
1504838,Copernicusvirus AE417,1512291.0,1
1508391,Copernicusvirus Efae230P4,1512291.0,1
1508504,Copernicusvirus Ef62,1512291.0,1
1510562,Copernicusvirus Ef73,1512291.0,1
1510635,Copernicusvirus Ef63,1512291.0,1
1510688,Copernicusvirus Efmus3,1512291.0,1
1513345,Copernicusvirus Ef72,1512291.0,1
1513889,Copernicusvirus Efmus4,1512291.0,1
1513959,Copernicusvirus Idefix,1512291.0,1
1514698,Copernicusvirus mda1,1512291.0,1
1515160,Copernicusvirus Ef74,1512291.0,1
1515824,Copernicusvirus IME195,1512291.0,1
1515478,Negarvirus,1503267.0,1
1514000,Negarvirus WP2,1515478.0,1
1503293,Gordtnkvirus,1515284.0,1
1506430,Gordtnkvirus gordtnk2,1503293.0,1
1503309,Oengusvirus,1515284.0,1
1507199,Oengusvirus oengus,1503309.0,1
1503311,Alegriavirus,1515284.0,1
1512533,Alegriavirus av2B8,1503311.0,1
1503321,Tantvirus,1515284.0,1
1506436,Tantvirus tant,1503321.0,1
1503392,Suolaviridae,1515284.0,1
1504415,Pormufvirus,1503392.0,1
1510325,Pormufvirus HRTV28,1504415.0,1
1503436,Hattifnattvirus,1515284.0,1
1503176,Hattifnattvirus hattifnatt,1503436.0,1
1503437,Rahariannevirus,1515284.0,1
1513173,Rahariannevirus raharianne,1503437.0,1
1503523,Yvonnevirus,1515284.0,1
1517082,Gordonia virus Yvonnetastic,1503523.0,1
1503544,Harrisonburgvirus,1515284.0,1
1509887,Harrisonburgvirus persinger,1503544.0,1
1503591,Hungariovirus,1515284.0,1
1509382,Hungariovirus C1302,1503591.0,1
1503611,Zetavirus,1515284.0,1
1507185,Zetavirus zeta1847,1503611.0,1
1503616,Stephanstirmvirinae,1515284.0,19
1503062,Phapecoctavirus,1503616.0,13
1504531,Escherichia virus phAPEC8,1503062.0,1
1505754,Phapecoctavirus tuntematon,1503062.0,1
1506925,Klebsiella virus ZCKP1,1503062.0,1
1507439,Phapecoctavirus nieznany,1503062.0,1
1507510,Phapecoctavirus Mt1B1P17,1503062.0,1
1507791,Phapecoctavirus anhysbys,1503062.0,1
1509856,Phapecoctavirus TSP7,1503062.0,1
1511721,Escherichia virus ESCO5,1503062.0,1
1512773,Phapecoctavirus nepoznato,1503062.0,1
1513303,Escherichia phage ESCO13,1503062.0,1
1514183,Escherichia virus Schickermooser,1503062.0,1
1514452,Phapecoctavirus Ro121c4YLVW,1503062.0,1
1516072,Phapecoctavirus ukendt,1503062.0,1
1505175,Justusliebigvirus,1503616.0,6
1507972,Justusliebigvirus PHB05,1505175.0,1
1508772,Justusliebigvirus phi92,1505175.0,1
1508992,Justusliebigvirus PD06,1505175.0,1
1511814,Justusliebigvirus VEcB,1505175.0,1
1513189,Justusliebigvirus alia,1505175.0,1
1513276,Justusliebigvirus muut,1505175.0,1
1503665,Dibbivirus,1515284.0,3
1503258,Dibbivirus DIBBI,1503665.0,1
1509390,Dibbivirus AAM37,1503665.0,1
1516173,Dibbivirus PSKM,1503665.0,1
1503696,Pamexvirus,1515284.0,2
1503238,Pamexvirus PaMx28,1503696.0,1
1504219,Pamexvirus PaMx74,1503696.0,1
1503740,Lubbockvirus,1515284.0,2
1505248,Lubbockvirus CDHM19,1503740.0,1
1515179,Lubbockvirus CD119,1503740.0,1
1503822,Andregratiavirinae,1515284.0,2
1505313,Haetaevirus,1503822.0,1
1507390,Haetaevirus PBC2,1505313.0,1
1507798,Kirovvirus,1503822.0,1
1502858,Kirovvirus kirov,1507798.0,1
1503846,Helgolandviridae,1515284.0,1
1508203,Leefvirus,1503846.0,1
1513705,Leefvirus Leef,1508203.0,1
1503851,Metrivirus,1515284.0,1
1508444,Metrivirus ME3,1503851.0,1
1503898,Stanwilliamsviridae,1515284.0,27
1505955,Boydwoodruffvirinae,1503898.0,18
1503974,Tomasvirus,1505955.0,1
1510555,Tomasvirus tomas,1503974.0,1
1509473,Samistivirus,1505955.0,11
1503146,Samistivirus nootnoot,1509473.0,1
1508359,Samistivirus braelyn,1509473.0,1
1508478,Samistivirus peebs,1509473.0,1
1508492,Samistivirus mildred21,1509473.0,1
1508506,Samistivirus samisti12,1509473.0,1
1510015,Samistivirus daubenski,1509473.0,1
1510228,Samistivirus evy,1509473.0,1
1510826,Samistivirus egole,1509473.0,1
1514229,Samistivirus paradiddles,1509473.0,1
1514928,Samistivirus jay2jay,1509473.0,1
1516573,Samistivirus bmoc,1509473.0,1
1510990,Coruscantvirus,1505955.0,1
1510296,Coruscantvirus coruscant,1510990.0,1
1515984,Karimacvirus,1505955.0,5
1502953,Streptomyces virus Yaboi,1515984.0,1
1503212,Streptomyces virus Wollford,1515984.0,1
1505718,Streptomyces virus Karimac,1515984.0,1
1505827,Streptomyces virus StarPlatinum,1515984.0,1
1511161,Streptomyces virus LukeCage,1515984.0,1
1508352,Loccivirinae,1503898.0,9
1503961,Wilnyevirus,1508352.0,1
1512572,Wilnyevirus billnye,1503961.0,1
1507978,Annadreamyvirus,1508352.0,2
1509026,Annadreamyvirus blueeyedbeauty,1507978.0,1
1515467,Annadreamyvirus annadreamy,1507978.0,1
1508220,Faustvirus,1508352.0,2
1515593,Faustvirus faust,1508220.0,1
1516333,Faustvirus tunatartare,1508220.0,1
1517117,Gilsonvirus,1508352.0,2
1514654,Gilsonvirus comrade,1517117.0,1
1517067,Gilsonvirus gilson,1517117.0,1
1517266,Wakandavirus,1508352.0,2
1506316,Wakandavirus muntaha,1517266.0,1
1510530,Wakandavirus wakanda,1517266.0,1
1503903,Denisevirus,1515284.0,1
1514132,Denisevirus denise,1503903.0,1
1503906,Bclasvirinae,1515284.0,41
1503976,Acadianvirus,1503906.0,4
1504319,Acadianvirus baee,1503976.0,1
1506946,Acadianvirus serendipitous,1503976.0,1
1511919,Acadianvirus reprobate,1503976.0,1
1513045,Acadianvirus acadian,1503976.0,1
1506171,Birdsnestvirus,1503906.0,1
1510347,Birdsnestvirus birdsnest,1506171.0,1
1506621,Imvubuvirus,1503906.0,1
1515013,Imvubuvirus imvubu,1506621.0,1
1508531,Coopervirus,1503906.0,12
1505451,Coopervirus vincenzo,1508531.0,1
1505661,Coopervirus cooper,1508531.0,1
1507154,Coopervirus stinger,1508531.0,1
1509180,Coopervirus nigel,1508531.0,1
1509470,Coopervirus bane1,1508531.0,1
1510066,Coopervirus brownCNA,1508531.0,1
1514980,Coopervirus fortunato,1508531.0,1
1515372,Coopervirus zemanar,1508531.0,1
1515649,Coopervirus chrisnmich,1508531.0,1
1516436,Coopervirus adawi,1508531.0,1
1517401,Coopervirus heath,1508531.0,1
1517429,Coopervirus JAMaL,1508531.0,1
1508993,Pipefishvirus,1503906.0,5
1503526,Pipefishvirus gadjet,1508993.0,1
1509874,Pipefishvirus bernardo,1508993.0,1
1511371,Pipefishvirus obutu,1508993.0,1
1512732,Pipefishvirus athena,1508993.0,1
1516898,Pipefishvirus pipefish,1508993.0,1
1511313,Thonkovirus,1503906.0,1
1506721,Thonkovirus thonko,1511313.0,1
1513974,Pegunavirus,1503906.0,8
1504130,Pegunavirus Pg1,1513974.0,1
1504382,Pegunavirus osmaximus,1513974.0,1
1505542,Pegunavirus soto,1513974.0,1
1511068,Pegunavirus oline,1513974.0,1
1511630,Pegunavirus apizium,1513974.0,1
1515713,Pegunavirus manad,1513974.0,1
1516426,Pegunavirus kingtut,1513974.0,1
1517385,Pegunavirus suffolk,1513974.0,1
1514046,Julieunavirus,1503906.0,1
1506833,Julieunavirus julie1,1514046.0,1
1514175,Saguarovirus,1503906.0,1
1513719,Saguarovirus saguaro,1514175.0,1
1515506,Quesadillavirus,1503906.0,2
1508036,Quesadillavirus quesadilla,1515506.0,1
1511042,Quesadillavirus CRB2,1515506.0,1
1515843,Rosebushvirus,1503906.0,4
1506249,Rosebushvirus laurie,1515843.0,1
1510138,Rosebushvirus godines,1515843.0,1
1513001,Rosebushvirus rosebush,1515843.0,1
1516883,Rosebushvirus TA17a,1515843.0,1
1515862,Lilmcdreamyvirus,1503906.0,1
1505199,Lilmcdreamyvirus lilmcdreamy,1515862.0,1
1503911,Vhulanivirus,1515284.0,1
1514283,Vhulanivirus Shpa,1503911.0,1
1504011,Shandongvirus,1515284.0,1
1507085,Shandongvirus H101,1504011.0,1
1504025,Attisvirus,1515284.0,9
1508125,Attisvirus lamberg,1504025.0,1
1511946,Attisvirus sahara,1504025.0,1
1513404,Attisvirus vasanti,1504025.0,1
1515130,Attisvirus bjanes7,1504025.0,1
1515312,Attisvirus yeet412,1504025.0,1
1515697,Attisvirus pickett,1504025.0,1
1515804,Attisvirus attis,1504025.0,1
1516286,Attisvirus matteo,1504025.0,1
1517065,Attisvirus ebert,1504025.0,1
1504049,Orchidvirus,1515284.0,1
1514895,Orchidvirus orchid,1504049.0,1
1504081,Iggyvirus,1515284.0,2
1503786,Iggyvirus iggy,1504081.0,1
1515549,Iggyvirus PBPA162,1504081.0,1
1504099,Cbastvirus,1515284.0,1
1511176,Cbastvirus ST,1504099.0,1
1504121,Backyardiganvirus,1515284.0,16
1503644,Backyardiganvirus bellusterra,1504121.0,1
1503671,Backyardiganvirus arturo,1504121.0,1
1503883,Backyardiganvirus cindaradix,1504121.0,1
1504364,Backyardiganvirus LHTSCC,1504121.0,1
1505346,Backyardiganvirus stasia,1504121.0,1
1507264,Backyardiganvirus camperdownii,1504121.0,1
1507451,Backyardiganvirus backyardigan,1504121.0,1
1508025,Backyardiganvirus mundrea,1504121.0,1
1511483,Backyardiganvirus wizard007,1504121.0,1
1511853,Backyardiganvirus miramae,1504121.0,1
1512055,Backyardiganvirus leoavram,1504121.0,1
1512147,Backyardiganvirus peaches,1504121.0,1
1513154,Backyardiganvirus cerulean,1504121.0,1
1513248,Backyardiganvirus noelle,1504121.0,1
1515541,Backyardiganvirus icleared,1504121.0,1
1516040,Backyardiganvirus cintron,1504121.0,1
1504131,Seahorsevirus,1515284.0,1
1515678,Seahorsevirus seahorse,1504131.0,1
1504151,Ruthgordonvirinae,1515284.0,7
1506066,Catfishvirus,1504151.0,1
1504497,Catfishvirus catfish,1506066.0,1
1508564,Tinalinvirus,1504151.0,1
1507308,Tinalinvirus tinalin,1508564.0,1
1509149,Dardanusvirus,1504151.0,1
1517191,Dardanusvirus dardanus,1509149.0,1
1509513,Vendettavirus,1504151.0,2
1503486,Vendettavirus tzgordon,1509513.0,1
1517479,Vendettavirus vendetta,1509513.0,1
1510184,Gesputvirus,1504151.0,1
1516894,Gesputvirus gsput1,1510184.0,1
1512190,Schmidtvirus,1504151.0,1
1506183,Schmidtvirus schmidt,1512190.0,1
1504155,Farahnazvirus,1515284.0,1
1514147,Farahnazvirus ISF9,1504155.0,1
1504161,Emdodecavirus,1515284.0,3
1512012,Emdodecavirus N3,1504161.0,1
1516914,Emdodecavirus M12,1504161.0,1
1517443,Emdodecavirus M7,1504161.0,1
1504164,Clownvirus,1515284.0,1
1512245,Clownvirus clown,1504164.0,1
1504181,Rauchvirus,1515284.0,1
1512455,Rauchvirus BPP1,1504181.0,1
1504223,Ponsvirus,1515284.0,7
1505706,Ponsvirus cherryonlim,1504223.0,1
1508123,Ponsvirus bigchungus,1504223.0,1
1509724,Ponsvirus pons,1504223.0,1
1511612,Ponsvirus mayweather,1504223.0,1
1513017,Ponsvirus vine,1504223.0,1
1513430,Ponsvirus sheckwes,1504223.0,1
1516532,Ponsvirus lauer,1504223.0,1
1504273,Swiduovirus,1515284.0,1
1513267,Swiduovirus swi2,1504273.0,1
1504307,Foxquatrovirus,1515284.0,1
1514602,Foxquatrovirus fox4,1504307.0,1
1504374,Xiamenvirus,1515284.0,2
1504440,Xiamenvirus RDJL1,1504374.0,1
1515571,Xiamenvirus RDJL2,1504374.0,1
1504379,Septimatrevirus,1515284.0,3
1506180,Septimatrevirus sv73,1504379.0,1
1512119,Septimatrevirus Ab26,1504379.0,1
1513071,Septimatrevirus kakheti25,1504379.0,1
1504413,Phleivirus,1515284.0,1
1509033,Phleivirus Phlei,1504413.0,1
1504419,Triplejayvirus,1515284.0,1
1513924,Triplejayvirus tripleJ,1504419.0,1
1504449,Howevirus,1515284.0,2
1511829,Howevirus mcklovin,1504449.0,1
1516178,Howevirus howe,1504449.0,1
1504460,Zhangjivirus,1515284.0,1
1511875,Zhangjivirus PJN02,1504460.0,1
1504475,Gorjumvirus,1515284.0,1
1507669,Gorjumvirus jumbo,1504475.0,1
1504478,Obolenskvirus,1515284.0,8
1504975,Obolenskvirus WCHABP1,1504478.0,1
1505442,Obolenskvirus AB1,1504478.0,1
1508200,Obolenskvirus AbC62,1504478.0,1
1508519,Obolenskvirus AB2,1504478.0,1
1511090,Obolenskvirus LZ35,1504478.0,1
1511146,Obolenskvirus AbP2,1504478.0,1
1511261,Obolenskvirus AP22,1504478.0,1
1512437,Obolenskvirus WCHABP12,1504478.0,1
1504499,Corndogvirus,1515284.0,4
1504814,Corndogvirus corndog,1504499.0,1
1509561,Corndogvirus firecracker,1504499.0,1
1510194,Corndogvirus ryadel,1504499.0,1
1516420,Corndogvirus catdawg,1504499.0,1
1504502,Mementomorivirus,1515284.0,1
1507541,Mementomorivirus mementomori,1504502.0,1
1504503,Bcepfunavirus,1515284.0,1
1514960,Bcepfunavirus bcepF1,1504503.0,1
1504527,Magadivirus,1515284.0,1
1516516,Magadivirus Mgbh1,1504527.0,1
1504551,Gaiavirus,1515284.0,1
1509368,Gaiavirus gaia,1504551.0,1
1504578,Hiyaavirus,1515284.0,1
1513925,Hiyaavirus hiyaa,1504578.0,1
1504589,Pleeduovirus,1515284.0,1
1507132,Pleeduovirus PLE2,1504589.0,1
1504602,Silentrexvirus,1515284.0,1
1515060,Silentrexvirus silentrx,1504602.0,1
1504642,Wumpquatrovirus,1515284.0,1
1514211,Wumpquatrovirus WMP4,1504642.0,1
1504655,Plateaulakevirus,1515284.0,4
1503043,Plateaulakevirus pv4L372XY,1504655.0,1
1507830,Plateaulakevirus pv2L372X,1504655.0,1
1513284,Plateaulakevirus pv2L372D,1504655.0,1
1514388,Plateaulakevirus pv4L372D,1504655.0,1
1504670,Ayohtrevirus,1515284.0,1
1506624,Ayohtrevirus abba,1504670.0,1
1504689,Firingavirus,1515284.0,2
1509329,Firingavirus RSK1,1504689.0,1
1509541,Firingavirus firinga,1504689.0,1
1504738,Lanavirus,1515284.0,1
1513183,Lanavirus lana,1504738.0,1
1504746,Lughvirus,1515284.0,1
1509846,Lughvirus lugh,1504746.0,1
1504749,Sortsnevirus,1515284.0,2
1505778,Sortsnevirus sortsne,1504749.0,1
1516415,Sortsnevirus IME279,1504749.0,1
1504779,Schmittlotzvirus,1515284.0,1
1516144,Schmittlotzvirus sv771,1504779.0,1
1504819,Efquatrovirus,1515284.0,14
1503240,Efquatrovirus IME196,1504819.0,1
1503835,Efquatrovirus LY0322,1504819.0,1
1504694,Efquatrovirus EF4,1504819.0,1
1504717,Efquatrovirus AL2,1504819.0,1
1510851,Efquatrovirus AUEF3,1504819.0,1
1511663,Efquatrovirus SHEF2,1504819.0,1
1511672,Efquatrovirus EfaCPT1,1504819.0,1
1512197,Efquatrovirus SHEF5,1504819.0,1
1512583,Efquatrovirus EF3,1504819.0,1
1513397,Efquatrovirus SANTOR1,1504819.0,1
1513511,Efquatrovirus PMBT2,1504819.0,1
1514254,Efquatrovirus EcZZ2,1504819.0,1
1514631,Efquatrovirus SHEF4,1504819.0,1
1517142,Efquatrovirus AL3,1504819.0,1
1504843,Alcyoneusvirus,1515284.0,2
1503743,Alcyoneusvirus K641,1504843.0,1
1514230,Alcyoneusvirus RaK2,1504843.0,1
1504845,Nickievirus,1515284.0,1
1511503,Nickievirus nickie,1504845.0,1
1504867,Zobellviridae,1515284.0,11
1503122,Salinovirus,1504867.0,1
1508815,Salinovirus utanense,1503122.0,1
1503508,Paundecimvirus,1504867.0,1
1513390,Paundecimvirus PA11,1503508.0,1
1508541,Vipivirus,1504867.0,1
1512380,Vipivirus canadense,1508541.0,1
1510633,Icepovirus,1504867.0,1
1512666,Icepovirus bengalense,1510633.0,1
1512660,Cobavirinae,1504867.0,4
1511475,Veravirus,1512660.0,1
1504409,Veravirus septentrionalis,1511475.0,1
1516240,Siovirus,1512660.0,3
1502979,Siovirus coreense,1516240.0,1
1507805,Siovirus americense,1516240.0,1
1515163,Siovirus germanense,1516240.0,1
1514290,Melvirus,1504867.0,2
1506571,Melvirus orientalis,1514290.0,1
1507220,Melvirus helgolandense,1514290.0,1
1516157,Citrovirus,1504867.0,1
1512890,Citrovirus coptotermitis,1516157.0,1
1504882,Anatolevirus,1515284.0,2
1508590,Anatolevirus B3,1504882.0,1
1511531,Anatolevirus anatole,1504882.0,1
1504899,Nevevirus,1515284.0,4
1504338,Nevevirus P162,1504899.0,1
1512157,Nevevirus P092,1504899.0,1
1512293,Nevevirus P078,1504899.0,1
1516654,Nevevirus P118,1504899.0,1
1504910,Eurybiavirus,1515284.0,3
1505444,Eurybiavirus PHM2,1504910.0,1
1505956,Eurybiavirus PHM1,1504910.0,1
1511927,Eurybiavirus MED4213,1504910.0,1
1504938,Wbetavirus,1515284.0,1
1510169,Wbetavirus wbeta,1504938.0,1
1504980,Betterkatzvirus,1515284.0,1
1508316,Betterkatzvirus betterkatz,1504980.0,1
1504990,Raleighvirus,1515284.0,2
1507635,Raleighvirus raleigh,1504990.0,1
1517359,Raleighvirus darolandstone,1504990.0,1
1505040,Hiroshimavirus,1515284.0,1
1517017,Hiroshimavirus PPpW3,1505040.0,1
1505042,Segzyvirus,1515284.0,2
1503755,Segzyvirus LPSTLL,1505042.0,1
1506765,Segzyvirus segz1,1505042.0,1
1505060,Poushouvirus,1515284.0,1
1506900,Poushouvirus Poushou,1505060.0,1
1505080,Gilesvirus,1515284.0,1
1503559,Gilesvirus giles,1505080.0,1
1505089,Lokivirus,1515284.0,2
1513275,Lokivirus IMEAB3,1505089.0,1
1513997,Lokivirus loki,1505089.0,1
1505109,Jujuvirus,1515284.0,6
1503657,Jujuvirus blino,1505109.0,1
1508346,Jujuvirus walrus,1505109.0,1
1510062,Jujuvirus petra,1505109.0,1
1510203,Jujuvirus juju,1505109.0,1
1514327,Jujuvirus frokostdame,1505109.0,1
1515283,Jujuvirus azula,1505109.0,1
1505112,Juiceboxvirus,1515284.0,1
1515350,Juiceboxvirus juicebox,1505112.0,1
1505114,Plaisancevirus,1515284.0,1
1507508,Plaisancevirus PMW,1505114.0,1
1505124,Fernvirus,1515284.0,18
1502954,Fernvirus likha,1505124.0,1
1504002,Fernvirus Hb10c2,1505124.0,1
1505762,Fernvirus rani,1505124.0,1
1505843,Fernvirus fern,1505124.0,1
1505862,Fernvirus PBL1c,1505124.0,1
1507341,Fernvirus shelly,1505124.0,1
1507907,Fernvirus BN12,1505124.0,1
1508435,Fernvirus yyerffej,1505124.0,1
1508954,Fernvirus kawika,1505124.0,1
1512859,Fernvirus lucielle,1505124.0,1
1513487,Fernvirus pagassa,1505124.0,1
1514271,Fernvirus eltigre,1505124.0,1
1514933,Fernvirus jacopo,1505124.0,1
1516223,Fernvirus diva,1505124.0,1
1516405,Fernvirus leyra,1505124.0,1
